430794,04094,5100020,世界经典音乐赏评与比较,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
430796,04096,3030004,影视欣赏,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
430797,04097,3030003,二十世纪西方音乐,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
430800,04100,3030028,中外歌剧鉴赏,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431096,04281,2010995,产品生产体验,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2020级 2021级 2022级
431097,04282,2010993,储能技术及应用,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431098,04283,2010983,航空发动机原理,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431099,04284,2010997,空间推进技术导引,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431101,04286,2010976,面向未来的创新设计与智能制造,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2021级 2022级
431103,04288,2010935,机械工程发展史,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431106,04291,2010989,碳中和：能源动力系统,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431107,04292,2010943,热科学史：易涨易落遍历情，时冷时热可几心,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431108,04293,2010900,临近空间飞行器的空气动力学新问题,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431109,04294,2010951,心理学与生活,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-思维培养与沟通表达
",北洋园校区,年级:2019级 2021级 2020级 2022级
431111,04296,2010911,诗情画意谈力学（翻转）,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431113,04298,2010917,谈风说雨话力学,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431114,04299,2010915,设计心理学,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431115,04300,2010992,金属液态成形创新训练,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431116,04301,2010994,工程基本技能基础,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431117,04302,2010981,核能工程与先进核能利用技术,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431118,04303,2011021,新能源利用技术综合实践,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431119,04304,2011022,全生产周期模拟及优化,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431120,04305,2011025,工程创客基础与实践,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431121,04306,2010683,汽车文化,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431124,04309,2011024,氢能技术概论,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431125,04310,2011023,生活中的热动力学,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431126,04311,2011027,节能减排 实践创新,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431127,04312,2051083,近现代诗歌中的四史元素与故事,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431128,04313,2051079,身边的“水”力学,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2020级 2021级 2022级
431131,04316,2051077,水利工程与清洁能源,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2022级
431132,04317,2051090,浅谈海洋能源开发中的海洋土,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431147,04332,2070864,“碳中和”与Power-to-X,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2021级 2020级 2022级
431148,04333,2070827,材料科学基础,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431149,04334,2070791,化学工程学科的历史及前沿故事,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431151,04336,2070874,面向服务计算的多主体仿真,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2022级
431152,04337,2070843,思维定势突破与技术创新方法,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431153,04338,2070605,现代化工与高新技术,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431154,04339,2070863,宇宙万物的理性与美学框架——对称和不对称,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431155,04340,2070871,化学化工中的人工智能,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431158,04343,2080470,材料科技与现代社会,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431159,04344,2090718,领导学,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431161,04346,2090719,中西文化简论1,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431162,04347,2090700,风险管理与保险,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431169,04354,2100684,化妆品化学与健康,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431170,04355,2105060,化学化工过程与控制仿真实验,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431171,04356,2105053,科普化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431172,04357,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431173,04358,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431174,04359,2105052,劳技与化学原理实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431175,04360,2105063,中国传统文化与化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431176,04361,2105061,趣味化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431178,04363,2105014,宝石鉴赏,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431179,04364,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431180,04365,2105054,化学发展史中的实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431182,04367,2105060,化学化工过程与控制仿真实验,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431183,04368,2105060,化学化工过程与控制仿真实验,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431185,04370,2105039,化学与健康,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431186,04371,2105053,科普化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431187,04372,2105053,科普化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431188,04373,2105053,科普化学实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431189,04374,2105052,劳技与化学原理实验,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431193,04378,2120234,探寻数据之美（翻转）,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431194,04379,2120230,网络信息计量与应用,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431195,04380,2120235,中国科举制度与传统文化,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2021级 2020级 2022级
431196,04381,2120217,人与社会,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431198,04383,2120222,证券投资实训,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2021级 2020级 2022级
431200,04385,2120245,学习科学与技术,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431202,04387,2120246,数据处理与管理基础,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431203,04388,2120248,教育、经济与社会发展,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431204,04389,2120224,人工智能与教育,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2021级 2022级
431206,04391,2140247,化学与生活,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431207,04392,2140268,能源与环境概论,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431208,04393,2140191,绿色建筑概论,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431209,04394,2200105,植物修复环境概论,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431210,04395,2140234,计算流体力学软件应用与算例详解,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431211,04396,2200104,创新理论方法与生态文明建设实践（全英文）,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431216,04401,2140276,环境污染应急处理技能与应用,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431222,04407,2300167,绿色生物制造与智造,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
431225,04410,2300171,普通生物学导论—生命科学与社会发展,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431226,04411,2300178,解密绿色低碳能量加工厂,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431227,04412,2300152,生物安全与职业伦理,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431243,04428,2320057,可量化创新,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431244,04429,2060091,中国历代造型艺术欣赏,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431248,04433,2111367,语言、心理与脑,"      	文化素质选修-环境、心理、健康,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431249,04434,2111377,文字考古：汉字的发展历程,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431251,04436,2111361,中国传统文化撷英（翻转）,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431252,04437,2111204,中国现代新诗艺术,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-艺术与美学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431264,04449,2340152,讲好一个故事,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-文学、历史、哲学
",北洋园校区,年级:2021级 2022级
431267,04452,2340167,单片机工程应用基础,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2022级
431871,04952,2390001,见微知著：物质科学初探,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
431874,04955,2400008,创业管理（翻转）,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431876,04957,2400041,X-lab创新创业认知与行动提升计划,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431877,04958,2400040,社会创业与可持续发展(翻转）,"      	文化素质选修-思维培养与沟通表达,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
431881,04962,2440059,云计算,"      	文化素质选修-自然科学
",北洋园校区,年级:2021级 2020级 2022级
431882,04963,2440056,设计思维,"      	文化素质选修-艺术,
      	文化素质选修-思维培养与沟通表达
",北洋园校区,年级:2019级 2021级 2020级 2022级
431883,04964,2440055,创意摄影技术与艺术,"      	文化素质选修-艺术,
      	文化素质选修-艺术与美学
