影视欣赏, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04096
诗情画意谈力学（翻转）, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04296
中外歌剧鉴赏, , , , , , , , , , , , , , , , , , ,1, , , , , , ,04100
面向未来的创新设计与智能制造, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04286
工程基本技能基础, , , , , , , , , , , , , , , , , , ,1, , , , , , ,04301
机械工程发展史, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04288
核能工程与先进核能利用技术, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04302
设计心理学, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04299
金属液态成形创新训练, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04300
碳中和：能源动力系统, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04291
热科学史：易涨易落遍历情，时冷时热可几心, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04292
谈风说雨话力学, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04298
临近空间飞行器的空气动力学新问题, , , , , , , , , , , , , , , , , , ,1, , , , , , ,04293
产品生产体验, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04281
空间推进技术导引, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04284
航空发动机原理, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04283
储能技术及应用, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04282
水利工程与清洁能源, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04316
汽车文化, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04306
工程创客基础与实践, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04305
新能源利用技术综合实践, , , , , , , , , , , , , , , , , , ,1, , , , , , ,04303
近现代诗歌中的四史元素与故事, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04312
氢能技术概论, , , , , , , , , , , , , , , , , , ,1, , , , , , ,04309
生活中的热动力学, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04310
节能减排 实践创新, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04311
材料科技与现代社会, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04343
化学工程学科的历史及前沿故事, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04334
劳技与化学原理实验, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04359
中国传统文化与化学实验, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04360
趣味化学实验, , , , , , , , , , , , , , , , , , , ,1, , , , , ,04361
中西文化简论1, , , , , , , , , , , , , ,1, , , , , , , , , , , ,04346
风险管理与保险, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04347
科普化学实验, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04356
化学发展史中的实验, , , , ,1, , , , , , , , , , , , , , , , , , , , ,04357
化学发展史中的实验, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04364
科普化学实验, , , , , , , , , ,1, , , , , , , , , , , , , , , ,04371
